Manager,CIK,Nº Fundos,Nº Posições BR,Vol. Brasil (USD),Vol. Soberano (USD),Vol. Corporativo (USD),% Corporativo,Tipo Preferido,Prazo Médio (anos),Moeda Principal,Top Emissores BR,Filing Date,Fonte
PIMCO FUNDS,0000810893,1,635,6686095410.619999,7037320992.98,-351225582.3600006,-5.3,DFE,0,,BRAZIL GOVT ($7037.3M); VIBRANT CLO XII LTD 2021-12A ($83.4M); MAIN STREET NATURAL GAS INC ($36.6M); US RENAL CARE INC ($26.5M); VALE SA ($10.8M),2026-03-02,SEC/EDGAR N-PORT
"T. Rowe Price International Funds, Inc.",0000313212,1,77,793883412.39,0.0,793883412.39,100.0,DBT,0,USD,NOTA DO TESOURO NACIONAL ($358.8M); BRAZIL ($187.2M); RAIZEN FUELS FINANCE 144A ($60.9M); BRAZIL NTN-F ($38.3M); CSN RESOURCES SA ($18.9M),2026-02-26,SEC/EDGAR N-PORT
WisdomTree Trust,0001350487,1,174,325125416.41,0.0,325125416.41,100.0,EC,0,,Ambev SA ($33.8M); Axia Energia ($25.3M); Oil & Natural Gas Corp Ltd ($18.2M); MBRF Global Foods Co SA ($16.9M); Localiza Rent a Car SA ($14.7M),2026-02-27,SEC/EDGAR N-PORT
FINANCIAL INVESTORS TRUST,0000915802,1,10,324610015.63,0.0,324610015.63,100.0,EC,0,USD,Itau Unibanco Holding Sa ($93.7M); Ambev Sa ($78.0M); Xp Inc ($73.6M); Raia Drogasil Sa ($60.7M); Odontoprev Sa ($16.1M),2026-03-26,SEC/EDGAR N-PORT
TEMPLETON INCOME TRUST,0000795402,1,8,313729064.77000004,313729064.77000004,0.0,0.0,DBT,0,,Federative Republic of Brazil ($313.7M),2026-02-25,SEC/EDGAR N-PORT
American Funds Emerging Markets Bond Fund,0001660935,1,47,281343385.01,0.0,281343385.01,100.0,DBT,0,USD,BRAZIL FEDERATIVE REPUBLIC OF (GOVERNMEN ($240.8M); BRASKEM NETHERLANDS FINANCE BV ($11.1M); CSN RESOURCES SA ($5.2M); RAIZEN FUELS FINANCE SA ($4.8M); ITAU UNIBANCO HOLDING SA (CAYMAN ISLANDS ($4.2M),2026-02-26,SEC/EDGAR N-PORT
NEW YORK LIFE INVESTMENTS FUNDS,0000787441,1,40,214249775.91000003,2422970.0,211826805.91000003,98.9,DBT,0,USD,"Main Street Natural Gas, Inc. ($161.9M); United Natural Foods, Inc. ($27.1M); Texas Natural Gas Securitization Finance ($4.9M); Suzano Austria GmbH ($4.7M); Raizen Fuels Finance SA ($4.2M)",2026-03-26,SEC/EDGAR N-PORT
"DEUTSCHE DWS INTERNATIONAL FUND, INC.",0000088053,1,50,209793839.48000002,0.0,209793839.48000002,100.0,EC,0,,Banco Bradesco SA ($19.4M); Axia Energia ($17.1M); Petroleo Brasileiro SA - Petrobras ($17.0M); Vale SA ($14.8M); Itau Unibanco Holding SA ($12.3M),2026-03-23,SEC/EDGAR N-PORT
VIRTUS OPPORTUNITIES TRUST,0001005020,1,31,189354026.5,16189241.5,173164785.0,91.5,DBT,0,USD,Caixa Seguridade Participacoes ($66.8M); TOTVS SA ($24.9M); XP Inc ($17.8M); FED REPUBLIC OF BRAZIL ($16.2M); NOTA DO TESOURO NACIONAL ($12.8M),2026-02-26,SEC/EDGAR N-PORT
TCW FUNDS INC,0000892071,1,23,176052608.99999997,0.0,176052608.99999997,100.0,DBT,0,USD,Brazil Government International Bonds ($114.0M); CSN RESOURCES SA ($27.5M); SAMARCO MINERACAO SA ($26.0M); NOTA DO TESOURO NACIONAL ($6.7M); SOUTHERN NATURAL GAS ($1.5M),2025-12-22,SEC/EDGAR N-PORT
FRANKLIN TEMPLETON VARIABLE INSURANCE PRODUCTS TRUST,0000837274,1,20,170020756.42,144708176.72,25312579.699999988,14.9,DBT,0,,Federative Republic of Brazil ($144.7M); Itau Unibanco Holding SA ($6.5M); Banco Bradesco SA ($5.2M); Petroleo Brasileiro SA ($4.6M); Vale SA ($3.7M),2026-02-25,SEC/EDGAR N-PORT
FIDELITY HANOVER STREET TRUST,0000702533,1,36,153935018.79000002,0.0,153935018.79000002,100.0,DBT,0,USD,"BRAZIL, FEDERATIVE REPUBLIC OF ($33.0M); BRAZIL LETRAS DO TESOURO NACIONAL ($28.3M); NOTA DO TESOURO NACIONAL ($18.0M); SAMARCO MINERACAO SA ($13.2M); SUZANO AUSTRIA GMBH ($9.1M)",2026-02-24,SEC/EDGAR N-PORT
SPDR SERIES TRUST,0001064642,1,50,145100848.55,180738.17,144920110.38000003,99.9,DBT,0,USD,NOTA DO TESOURO NACIONAL ($53.4M); LETRA TESOURO NACIONAL ($45.5M); SUZANO AUSTRIA GMBH ($10.8M); CANADIAN NATL RESOURCES ($8.9M); Axia Energia ($4.2M),2026-02-26,SEC/EDGAR N-PORT
FIDELITY HASTINGS STREET TRUST,0000035348,1,36,113199800.97,0.0,113199800.97,100.0,DBT,0,USD,"NOTA DO TESOURO NACIONAL ($27.4M); BRAZIL, FEDERATIVE REPUBLIC OF ($23.6M); BRAZIL LETRAS DO TESOURO NACIONAL ($20.3M); VALE SA ($17.2M); SAMARCO MINERACAO SA ($5.8M)",2026-02-24,SEC/EDGAR N-PORT
"iShares, Inc.",0000930667,1,152,107379310.55,4011300.0,103368010.55,96.3,DBT,0,USD,Brazil Government International Bonds ($26.0M); NOTA DO TESOURO NACIONAL ($17.8M); LETRA TESOURO NACIONAL ($15.3M); Petrobras Global Finance BV ($5.4M); PETROBRAS GLOBAL FINANCE ($4.4M),2026-03-26,SEC/EDGAR N-PORT
FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND II,0001510337,1,79,104204400.92,0.0,104204400.92,100.0,EC,0,,Oil & Natural Gas Corp Ltd ($7.7M); Vibra Energia SA ($6.0M); PRIO SA/Brazil ($6.0M); Cia Energetica de Minas Gerais ($5.5M); Gerdau SA ($5.4M),2026-02-23,SEC/EDGAR N-PORT
FIRST TRUST EXCHANGE-TRADED FUND III,0001424212,1,33,84581330.68,0.0,84581330.68,100.0,DBT,0,USD,MAIN STREET NATURAL GAS INC GA ($51.8M); NOTA DO TESOURO NACIONAL ($28.9M); Canadian Natural Resources Ltd ($1.2M); Vale SA ($0.7M); PETROBRAS ($0.5M),2026-03-25,SEC/EDGAR N-PORT
CULLEN FUNDS TRUST,0001109957,1,8,81407904.71000001,0.0,81407904.71000001,100.0,EC,0,,Itau Unibanco Holding SA ($22.9M); Cyrela Brazil Realty S.A. Empreendimento ($22.1M); Centrais Elet Bras Sa Eletrobras ($17.5M); Petroleo Brasileiro SA ($16.7M); SLC Agricola Sa ($2.3M),2026-02-26,SEC/EDGAR N-PORT
Columbia Funds Variable Series Trust II,0001413032,1,30,77529030.87999998,1986967.27,75542063.60999998,97.4,DBT,0,USD,Itau Unibanco Holding SA ($44.1M); Cosan SA ($7.8M); Brazil Government International Bonds ($6.4M); Terumo Corp ($5.5M); EMBRAER NETHERLANDS FINA ($2.5M),2026-02-26,SEC/EDGAR N-PORT
CAUSEWAY CAPITAL MANAGEMENT TRUST,0001156906,1,24,75272171.38,0.0,75272171.38,100.0,EC,0,,JBS N.V. ($15.7M); Banco Bradesco S.A. ($9.9M); Cyrela Brazil Realty S.A. Empreendimento ($9.7M); DIRECIONAL ENGENHARIA S.A. ($9.0M); GERDAU S.A. ($8.4M),2026-02-27,SEC/EDGAR N-PORT
FEDERATED HERMES CORE TRUST,0001034106,1,43,72237740.73,5158782.0,67078958.730000004,92.9,DBT,0,USD,Brazil Government International Bonds ($31.3M); Petrobras Global Finance BV ($7.1M); SAMARCO MINERACAO SA ($5.6M); FED REPUBLIC OF BRAZIL ($5.2M); PETROBRAS GLOBAL FINANCE ($3.4M),2026-03-23,SEC/EDGAR N-PORT
PENN SERIES FUNDS INC,0000702340,1,17,58177720.07,0.0,58177720.07,100.0,EC,0,USD,Canadian Natural Resources Ltd ($52.5M); BXP Inc ($1.7M); TOTVS SA ($1.5M); Cia de Saneamento Basico do Es ($1.1M); Core Natural Resources Inc ($0.6M),2026-02-25,SEC/EDGAR N-PORT
Columbia Funds Series Trust II,0001352280,1,19,57126449.43000001,1827562.52,55298886.910000004,96.8,DBT,0,USD,BXP Inc ($18.2M); Itau Unibanco Holding SA ($12.0M); UNITED NATURAL FOODS INC ($9.2M); Ralph Lauren Corp ($6.3M); Brazil Government International Bonds ($3.0M),2026-01-28,SEC/EDGAR N-PORT
"MANNING & NAPIER FUND, INC.",0000751173,1,12,52919228.550000004,0.0,52919228.550000004,100.0,EC,0,USD,NU Holdings Ltd/Cayman Islands ($35.7M); Cia de Saneamento Basico do Es ($15.3M); Cury Construtora e Incorporado ($1.6M); Ralph Lauren Corp ($0.3M),2026-03-25,SEC/EDGAR N-PORT
Thrivent Core Funds,0001669626,1,41,50711630.0,0.0,50711630.0,100.0,EC,0,,BRAZIL FEDERATIVE REP ($15.2M); VALE S A ($4.2M); ITAU UNIBANCO HLDG SA ($4.0M); PETROLEO BRASILEIRO SA PETROBRAS PETR ($2.7M); DIRECIONAL ENGENHARIA SA ($2.1M),2025-12-29,SEC/EDGAR N-PORT
iSHARES TRUST,0001100663,1,74,41327210.3,1028406.77,40298803.529999994,97.5,DBT,0,USD,CANADIAN NATL RESOURCES ($10.9M); Tecnicas Reunidas SA ($6.6M); UNITED NATURAL FOODS INC ($4.6M); AMPRION GMBH ($3.7M); Brazil Government International Bonds ($2.9M),2026-03-26,SEC/EDGAR N-PORT
NORTHWESTERN MUTUAL SERIES FUND INC,0000742212,1,26,38472869.47,2472750.0,36000119.47,93.6,DBT,0,USD,Banco Bradesco SA ($7.3M); B3 SA - Brasil Bolsa Balcao ($6.6M); Terumo Corp ($3.9M); EMBRAER NETHERLANDS FINA ($3.0M); FED REPUBLIC OF BRAZIL ($2.5M),2026-02-23,SEC/EDGAR N-PORT
JPMorgan Trust I,0001217286,1,11,37713219.279999994,0.0,37713219.279999994,100.0,DBT,0,USD,Ralph Lauren Corp. ($36.8M); Texas Natural Gas Securitization Finance ($0.4M); Pioneer Natural Resources Co. ($0.4M); Northern Natural Gas Co. ($0.1M); Brazilian Real ($0.0M),2026-02-26,SEC/EDGAR N-PORT
Franklin Templeton ETF Trust,0001655589,1,12,31498441.849999998,174765.0,31323676.849999998,99.4,DBT,0,USD,MAIN STREET NATURAL GAS INC GA ($22.9M); CANADIAN NATL RESOURCES ($5.9M); PIEDMONT NATURAL GAS CO ($1.5M); PRIORITY HLDG 07 07/30/32 ($0.9M); FED REPUBLIC OF BRAZIL ($0.2M),2026-02-27,SEC/EDGAR N-PORT
Brookfield Investment Funds,0001520738,1,12,31265231.16,0.0,31265231.16,100.0,EC,0,,Itau Unibanco Holding SA ($5.6M); Localiza Rent a Car SA ($4.8M); WEG SA ($4.6M); NU Holdings Ltd/Cayman Islands ($4.1M); XP Inc ($3.1M),2026-02-27,SEC/EDGAR N-PORT
Advisors' Inner Circle Fund III,0001593547,1,9,27789473.490000002,0.0,27789473.490000002,100.0,EC,0,,EMBRAER S.A. ($7.9M); VALE S.A. ($6.5M); WEG S.A. ($3.1M); Transmissora Alianca de Energia Eletrica ($2.8M); Itau Unibanco Holding S.A. ($2.8M),2026-03-02,SEC/EDGAR N-PORT
FIDELITY SUMMER STREET TRUST,0000225322,1,12,24651313.899999995,0.0,24651313.899999995,100.0,LON,0,USD,SAMARCO MINERACAO SA ($15.0M); LUMEN TECHNOLOGIES ($9.6M); DEL MONTE FOODS CORP II INC ($0.1M); ALPHA NATURAL RESOURCES INC ($0.0M),2026-03-25,SEC/EDGAR N-PORT
Horizon Funds,0001643174,1,10,13247785.059999999,0.0,13247785.059999999,100.0,EC,0,USD,BXP Inc ($9.4M); Ralph Lauren Corp ($3.3M); NU Holdings Ltd/Cayman Islands ($0.2M); Itau Unibanco Holding SA ($0.2M); N/A ($0.2M),2026-01-14,SEC/EDGAR N-PORT
Franklin Global Trust,0001124459,1,6,6617882.48,3855151.18,2762731.3000000003,41.7,DBT,0,USD,Federative Republic of Brazil Bond ($2.6M); Federative Republic of Brazil ($1.3M); MC Brazil Downstream Trading SARL ($1.1M); Braskem Idesa SAPI ($1.1M); Braskem Netherlands Finance BV ($0.3M),2025-12-23,SEC/EDGAR N-PORT
Gallery Trust,0001651872,1,6,4941422.84,0.0,4941422.84,100.0,EC,0,,HYPERA S.A. ($3.4M); Petroleo Brasileiro S.A. (Petrobras) ($0.4M); VALE S.A. ($0.4M); ITAUSA S.A. ($0.4M); AMBEV S.A. ($0.2M),2025-12-29,SEC/EDGAR N-PORT
Datum One Series Trust,0001806095,1,2,3734123.66,0.0,3734123.66,100.0,EC,0,,RUMO SA ($1.9M); MOTIVA INFRAESTRUTURA DE ($1.9M),2026-03-25,SEC/EDGAR N-PORT
J.P. Morgan Exchange-Traded Fund Trust,0001485894,1,5,3325254.96,0.0,3325254.96,100.0,EC,0,USD,"Core Natural Resources, Inc. ($1.8M); United Natural Foods, Inc. ($1.5M); Ralph Lauren Corp. ($0.1M)",2026-02-26,SEC/EDGAR N-PORT
"DEUTSCHE DWS GLOBAL/INTERNATIONAL FUND, INC.",0000793597,1,4,2995078.54,0.0,2995078.54,100.0,DBT,0,USD,Brazil Government International Bonds ($1.6M); Ralph Lauren Corp ($1.4M),2026-03-23,SEC/EDGAR N-PORT
Virtus ETF Trust II,0001648403,1,12,2976090.7,486621.07,2489469.6300000004,83.6,DBT,0,USD,Priority Holdings LLC ($1.8M); FED REPUBLIC OF BRAZIL ($0.5M); MINERVA LUXEMBOURG SA ($0.2M); SAMARCO MINERACAO SA ($0.2M); BRASKEM NETHERLANDS ($0.1M),2025-12-30,SEC/EDGAR N-PORT
ETFis Series Trust I,0001559109,1,6,2975696.76,1688975.06,1286721.6999999997,43.2,DBT,0,USD,FED REPUBLIC OF BRAZIL ($1.7M); NOTA DO TESOURO NACIONAL ($1.2M); SAMARCO MINERACAO SA ($0.1M),2025-12-30,SEC/EDGAR N-PORT
Cohen & Steers ETF Trust,0001590402,1,6,1861411.51,0.0,1861411.51,100.0,EC,0,,Cia Paranaense de Energia - Copel ($0.7M); Canadian Natural Resources Ltd ($0.4M); Vale SA ($0.3M); Minerva SA/Brazil ($0.3M); Petroleo Brasileiro SA - Petrobras ($0.2M),2026-02-26,SEC/EDGAR N-PORT
Direxion Shares ETF Trust,0001424958,1,6,1176414.84,0.0,1176414.84,100.0,EC,0,USD,BXP Inc ($0.5M); Ralph Lauren Corp. ($0.5M); Natural Grocers By Vitamin Cottage Inc. ($0.2M),2025-12-29,SEC/EDGAR N-PORT
Arrow ETF Trust,0001532206,1,6,1057908.0,0.0,1057908.0,100.0,DBT,0,USD,Brazil (Federative Republic) ($0.7M); Natural Resource Partners L.P. ($0.2M); Mach Natural Resources LP ($0.1M),2025-12-29,SEC/EDGAR N-PORT
